CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME_1,DUE_TIME_1,READY_TIME_2,DUE_TIME_2,READY_TIME_3,DUE_TIME_3,SERVICE_TIME
0,40,50,0,0,1500,0,1500,0,1500,0
1,3,36,18,16,64,120,164,207,287,2
2,43,98,18,94,141,196,242,291,335,2
3,29,87,18,29,109,152,213,252,330,2
4,0,67,26,26,78,135,194,253,313,2
5,48,93,18,71,120,171,236,284,344,2
6,41,50,22,16,81,119,189,242,295,2
7,11,100,26,56,121,156,206,250,328,2
8,16,49,25,75,134,185,246,280,346,2
9,95,4,18,29,96,148,218,249,329,2
10,97,94,28,5,65,113,190,220,262,2
11,32,42,9,3,79,110,179,221,285,2
12,89,8,22,91,133,176,245,276,350,2
13,0,53,9,86,151,200,269,312,375,2
14,92,72,18,24,76,135,194,231,309,2
15,18,81,25,12,82,120,195,252,315,2
16,34,52,5,13,61,105,152,191,246,2
17,12,24,28,90,148,190,246,279,328,2
18,75,9,26,85,165,208,269,318,383,2
19,37,1,5,41,103,136,180,218,289,2
20,65,59,24,87,162,192,252,302,360,2
21,22,96,26,10,86,135,177,229,279,2
22,23,4,25,74,130,181,241,274,314,2
23,27,67,9,65,132,177,245,298,341,2
24,59,91,28,17,89,141,209,245,321,2
25,54,4,18,83,138,173,245,289,335,2
26,48,91,28,79,142,199,263,319,378,2
27,72,32,5,42,120,155,205,259,299,2
28,1,63,11,26,72,113,173,219,295,2
29,16,95,12,13,78,129,186,225,298,2
30,97,96,30,92,156,215,269,321,394,2
31,52,85,12,34,77,116,166,223,272,2
32,14,1,19,54,100,152,221,278,345,2
33,85,74,15,94,153,205,283,337,391,2
34,6,24,26,75,149,196,251,290,353,2
35,74,15,9,3,45,103,182,238,284,2
36,51,15,25,85,159,209,254,299,364,2
37,49,48,24,87,144,192,259,295,364,2
38,8,70,25,90,147,183,260,303,375,2
39,66,16,9,42,89,145,209,242,311,2
40,47,86,6,13,67,98,175,216,273,2
41,37,63,12,89,167,208,250,287,336,2
42,85,30,15,48,93,129,206,258,304,2
43,12,62,13,82,152,184,256,304,358,2
44,68,13,6,82,133,188,246,291,351,2
45,60,1,29,35,109,167,232,288,338,2
46,19,75,22,27,87,146,215,263,311,2
47,95,59,5,1,80,132,196,241,316,2
48,4,23,8,0,61,109,179,219,268,2
49,84,7,18,94,138,191,253,290,356,2
50,90,1,14,50,92,140,187,224,281,2
51,66,40,5,17,76,121,194,238,283,2
52,18,19,21,1,65,112,164,204,266,2
53,67,69,13,67,126,159,238,274,317,2
54,85,31,13,61,124,180,260,291,353,2
55,64,75,28,79,121,169,214,246,316,2
56,18,56,30,16,71,105,161,202,266,2
57,75,30,15,24,68,125,201,242,310,2
58,88,7,5,8,50,87,158,200,280,2
59,40,91,24,78,149,185,256,312,359,2
60,13,21,22,70,129,179,226,277,357,2
61,8,92,5,25,77,112,177,217,291,2
62,74,58,17,17,90,140,207,241,289,2
63,33,70,8,47,104,161,202,233,298,2
64,96,95,8,72,124,183,241,300,342,2
65,39,63,28,26,72,108,181,212,275,2
66,97,37,17,2,46,98,170,220,263,2
67,19,62,29,84,146,176,232,267,345,2
68,13,31,20,42,95,130,208,238,317,2
69,36,74,10,98,172,216,267,318,372,2
70,70,40,27,87,158,198,266,306,380,2
71,50,83,6,84,162,222,268,318,387,2
